timestamp, memory.used [MiB], utilization.gpu [%]
2026/08/01 13:17:10.881, 5785 MiB, 73 %
2026/08/01 13:17:15.881, 5785 MiB, 24 %
2026/08/01 13:17:20.882, 5785 MiB, 29 %
2026/08/01 13:17:25.882, 5785 MiB, 27 %
2026/08/01 13:17:30.882, 5785 MiB, 28 %
2026/08/01 13:17:35.883, 5785 MiB, 26 %
2026/08/01 13:17:40.883, 5785 MiB, 28 %
2026/08/01 13:17:45.884, 5785 MiB, 29 %
2026/08/01 13:17:50.884, 5785 MiB, 28 %
2026/08/01 13:17:55.884, 5785 MiB, 29 %
2026/08/01 13:18:00.885, 5785 MiB, 29 %
2026/08/01 13:18:05.885, 5785 MiB, 26 %
2026/08/01 13:18:10.886, 5785 MiB, 29 %
2026/08/01 13:18:15.886, 5785 MiB, 26 %
2026/08/01 13:18:20.887, 5785 MiB, 29 %
2026/08/01 13:18:25.887, 5785 MiB, 29 %
2026/08/01 13:18:30.888, 5785 MiB, 30 %
2026/08/01 13:18:35.888, 5785 MiB, 27 %
2026/08/01 13:18:40.888, 5785 MiB, 29 %
2026/08/01 13:18:45.889, 5785 MiB, 29 %
2026/08/01 13:18:50.889, 5785 MiB, 32 %
2026/08/01 13:18:55.890, 5785 MiB, 29 %
2026/08/01 13:19:00.890, 5785 MiB, 29 %
2026/08/01 13:19:05.891, 5785 MiB, 28 %
2026/08/01 13:19:10.892, 5785 MiB, 29 %
2026/08/01 13:19:15.892, 5785 MiB, 26 %
2026/08/01 13:19:20.892, 5785 MiB, 29 %
2026/08/01 13:19:25.893, 5785 MiB, 29 %
2026/08/01 13:19:30.893, 5785 MiB, 29 %
2026/08/01 13:19:35.894, 5785 MiB, 27 %
2026/08/01 13:19:40.894, 5785 MiB, 29 %
2026/08/01 13:19:45.894, 5785 MiB, 29 %
2026/08/01 13:19:50.895, 5785 MiB, 29 %
2026/08/01 13:19:55.895, 5785 MiB, 27 %
2026/08/01 13:20:00.896, 5785 MiB, 29 %
2026/08/01 13:20:05.896, 5785 MiB, 26 %
2026/08/01 13:20:10.896, 5785 MiB, 29 %
2026/08/01 13:20:15.897, 5785 MiB, 29 %
2026/08/01 13:20:20.897, 5785 MiB, 29 %
2026/08/01 13:20:25.897, 5785 MiB, 29 %
2026/08/01 13:20:30.898, 5785 MiB, 29 %
2026/08/01 13:20:35.898, 5785 MiB, 29 %
2026/08/01 13:20:40.899, 5785 MiB, 29 %
2026/08/01 13:20:45.899, 5785 MiB, 29 %
2026/08/01 13:20:50.899, 5785 MiB, 29 %
2026/08/01 13:20:55.900, 5785 MiB, 26 %
2026/08/01 13:21:00.900, 5785 MiB, 29 %
2026/08/01 13:21:05.901, 5785 MiB, 29 %
2026/08/01 13:21:10.901, 5785 MiB, 29 %
2026/08/01 13:21:15.901, 5785 MiB, 27 %
2026/08/01 13:21:20.902, 5785 MiB, 29 %
2026/08/01 13:21:25.903, 5785 MiB, 26 %
2026/08/01 13:21:30.903, 5785 MiB, 29 %
2026/08/01 13:21:35.903, 5785 MiB, 27 %
2026/08/01 13:21:40.904, 5785 MiB, 29 %
2026/08/01 13:21:45.904, 5785 MiB, 27 %
2026/08/01 13:21:50.905, 5785 MiB, 29 %
2026/08/01 13:21:55.905, 5785 MiB, 29 %
2026/08/01 13:22:00.905, 5785 MiB, 29 %
2026/08/01 13:22:05.906, 5785 MiB, 28 %
2026/08/01 13:22:10.906, 5785 MiB, 28 %
2026/08/01 13:22:15.907, 5785 MiB, 29 %
2026/08/01 13:22:20.907, 5785 MiB, 29 %
2026/08/01 13:22:25.907, 5785 MiB, 29 %
2026/08/01 13:22:30.908, 5785 MiB, 26 %
2026/08/01 13:22:35.909, 5785 MiB, 29 %
2026/08/01 13:22:40.909, 5785 MiB, 29 %
2026/08/01 13:22:45.909, 5785 MiB, 29 %
