timestamp, memory.used [MiB], utilization.gpu [%]
2026/08/01 13:22:50.910, 5785 MiB, 28 %
2026/08/01 13:22:55.910, 5785 MiB, 29 %
2026/08/01 13:23:00.911, 5785 MiB, 29 %
2026/08/01 13:23:05.911, 5785 MiB, 26 %
2026/08/01 13:23:10.911, 5785 MiB, 29 %
2026/08/01 13:23:15.912, 5785 MiB, 29 %
2026/08/01 13:23:20.912, 5785 MiB, 46 %
2026/08/01 13:23:25.913, 5785 MiB, 29 %
2026/08/01 13:23:30.913, 5785 MiB, 29 %
2026/08/01 13:23:35.914, 5785 MiB, 27 %
2026/08/01 13:23:40.914, 5785 MiB, 29 %
2026/08/01 13:23:45.915, 5785 MiB, 29 %
2026/08/01 13:23:50.915, 5785 MiB, 29 %
2026/08/01 13:23:55.915, 5785 MiB, 28 %
2026/08/01 13:24:00.916, 5785 MiB, 29 %
2026/08/01 13:24:05.917, 5785 MiB, 27 %
2026/08/01 13:24:10.917, 5785 MiB, 29 %
2026/08/01 13:24:15.918, 5785 MiB, 29 %
2026/08/01 13:24:20.918, 5785 MiB, 30 %
2026/08/01 13:24:25.918, 5785 MiB, 29 %
2026/08/01 13:24:30.919, 5785 MiB, 29 %
2026/08/01 13:24:35.919, 5785 MiB, 29 %
2026/08/01 13:24:40.919, 5785 MiB, 29 %
2026/08/01 13:24:45.920, 5785 MiB, 29 %
2026/08/01 13:24:50.921, 5785 MiB, 25 %
2026/08/01 13:24:55.921, 5785 MiB, 27 %
2026/08/01 13:25:00.922, 5785 MiB, 29 %
2026/08/01 13:25:05.922, 5785 MiB, 29 %
2026/08/01 13:25:10.922, 5785 MiB, 24 %
2026/08/01 13:25:15.923, 5785 MiB, 28 %
2026/08/01 13:25:20.923, 5785 MiB, 29 %
2026/08/01 13:25:25.924, 5785 MiB, 29 %
2026/08/01 13:25:30.924, 5785 MiB, 28 %
2026/08/01 13:25:35.925, 5785 MiB, 29 %
2026/08/01 13:25:40.925, 5785 MiB, 29 %
2026/08/01 13:25:45.926, 5785 MiB, 28 %
2026/08/01 13:25:50.926, 5785 MiB, 28 %
2026/08/01 13:25:55.927, 5785 MiB, 27 %
2026/08/01 13:26:00.927, 5785 MiB, 25 %
2026/08/01 13:26:05.928, 5785 MiB, 29 %
2026/08/01 13:26:10.928, 5785 MiB, 30 %
2026/08/01 13:26:15.928, 5785 MiB, 29 %
2026/08/01 13:26:20.929, 5785 MiB, 29 %
2026/08/01 13:26:25.929, 5785 MiB, 28 %
2026/08/01 13:26:30.930, 5785 MiB, 29 %
2026/08/01 13:26:35.930, 5785 MiB, 29 %
2026/08/01 13:26:40.930, 5785 MiB, 29 %
2026/08/01 13:26:45.931, 5785 MiB, 29 %
2026/08/01 13:26:50.931, 5785 MiB, 29 %
2026/08/01 13:26:55.932, 5785 MiB, 29 %
2026/08/01 13:27:00.932, 5785 MiB, 29 %
2026/08/01 13:27:05.932, 5785 MiB, 29 %
2026/08/01 13:27:10.933, 5785 MiB, 29 %
2026/08/01 13:27:15.933, 5785 MiB, 29 %
2026/08/01 13:27:20.934, 5785 MiB, 29 %
2026/08/01 13:27:25.934, 5785 MiB, 29 %
2026/08/01 13:27:30.935, 5785 MiB, 29 %
2026/08/01 13:27:35.935, 5785 MiB, 29 %
2026/08/01 13:27:40.936, 5785 MiB, 29 %
2026/08/01 13:27:45.936, 5785 MiB, 27 %
2026/08/01 13:27:50.936, 5785 MiB, 28 %
2026/08/01 13:27:55.937, 5785 MiB, 29 %
2026/08/01 13:28:00.937, 5785 MiB, 29 %
2026/08/01 13:28:05.938, 5785 MiB, 29 %
2026/08/01 13:28:10.938, 5785 MiB, 28 %
2026/08/01 13:28:15.938, 5785 MiB, 29 %
2026/08/01 13:28:20.939, 5785 MiB, 29 %
2026/08/01 13:28:25.939, 5785 MiB, 24 %
2026/08/01 13:28:30.940, 5785 MiB, 28 %
2026/08/01 13:28:35.941, 5785 MiB, 27 %
2026/08/01 13:28:40.941, 5785 MiB, 29 %
2026/08/01 13:28:45.941, 5785 MiB, 25 %
2026/08/01 13:28:50.942, 5785 MiB, 27 %
2026/08/01 13:28:55.942, 5785 MiB, 27 %
2026/08/01 13:29:00.942, 5785 MiB, 29 %
2026/08/01 13:29:05.943, 5785 MiB, 29 %
2026/08/01 13:29:10.943, 5785 MiB, 28 %
2026/08/01 13:29:15.944, 5785 MiB, 29 %
2026/08/01 13:29:20.944, 5785 MiB, 27 %
2026/08/01 13:29:25.944, 5785 MiB, 25 %
2026/08/01 13:29:30.945, 5785 MiB, 29 %
2026/08/01 13:29:35.945, 5785 MiB, 29 %
2026/08/01 13:29:40.946, 5785 MiB, 29 %
2026/08/01 13:29:45.946, 5785 MiB, 28 %
2026/08/01 13:29:50.946, 5785 MiB, 24 %
2026/08/01 13:29:55.947, 5785 MiB, 28 %
2026/08/01 13:30:00.947, 5785 MiB, 29 %
2026/08/01 13:30:05.948, 5785 MiB, 25 %
2026/08/01 13:30:10.948, 5785 MiB, 23 %
2026/08/01 13:30:15.948, 5785 MiB, 29 %
2026/08/01 13:30:20.949, 5785 MiB, 29 %
2026/08/01 13:30:25.949, 5785 MiB, 29 %
2026/08/01 13:30:30.950, 5785 MiB, 29 %
2026/08/01 13:30:35.951, 5785 MiB, 29 %
2026/08/01 13:30:40.951, 5785 MiB, 29 %
2026/08/01 13:30:45.954, 5785 MiB, 27 %
2026/08/01 13:30:50.955, 5785 MiB, 26 %
2026/08/01 13:30:55.955, 5785 MiB, 29 %
2026/08/01 13:31:00.956, 5785 MiB, 27 %
2026/08/01 13:31:05.957, 5785 MiB, 26 %
2026/08/01 13:31:10.957, 5785 MiB, 29 %
2026/08/01 13:31:15.958, 5785 MiB, 29 %
2026/08/01 13:31:20.958, 5787 MiB, 29 %
2026/08/01 13:31:25.959, 5787 MiB, 29 %
2026/08/01 13:31:30.959, 5787 MiB, 29 %
2026/08/01 13:31:35.959, 5787 MiB, 29 %
2026/08/01 13:31:40.960, 5787 MiB, 27 %
2026/08/01 13:31:45.960, 5787 MiB, 29 %
2026/08/01 13:31:50.961, 5787 MiB, 29 %
2026/08/01 13:31:55.961, 5787 MiB, 29 %
2026/08/01 13:32:00.961, 5787 MiB, 28 %
2026/08/01 13:32:05.962, 5787 MiB, 29 %
2026/08/01 13:32:10.962, 5787 MiB, 29 %
2026/08/01 13:32:15.963, 5787 MiB, 29 %
2026/08/01 13:32:20.963, 5787 MiB, 29 %
2026/08/01 13:32:25.963, 5787 MiB, 29 %
2026/08/01 13:32:30.964, 5787 MiB, 29 %
2026/08/01 13:32:35.964, 5787 MiB, 29 %
2026/08/01 13:32:40.965, 5787 MiB, 29 %
2026/08/01 13:32:45.965, 5787 MiB, 29 %
2026/08/01 13:32:50.965, 5787 MiB, 28 %
2026/08/01 13:32:55.966, 5787 MiB, 29 %
2026/08/01 13:33:00.966, 5787 MiB, 29 %
2026/08/01 13:33:05.967, 5787 MiB, 29 %
2026/08/01 13:33:10.967, 5787 MiB, 28 %
2026/08/01 13:33:15.967, 5787 MiB, 29 %
2026/08/01 13:33:20.968, 5787 MiB, 26 %
2026/08/01 13:33:25.968, 5787 MiB, 28 %
2026/08/01 13:33:30.969, 5787 MiB, 27 %
2026/08/01 13:33:35.969, 5787 MiB, 26 %
2026/08/01 13:33:40.969, 5787 MiB, 29 %
2026/08/01 13:33:45.970, 5787 MiB, 28 %
2026/08/01 13:33:50.970, 5787 MiB, 30 %
2026/08/01 13:33:55.971, 5787 MiB, 29 %
2026/08/01 13:34:00.971, 5787 MiB, 29 %
2026/08/01 13:34:05.971, 5787 MiB, 27 %
2026/08/01 13:34:10.972, 5787 MiB, 29 %
2026/08/01 13:34:15.972, 5787 MiB, 30 %
2026/08/01 13:34:20.973, 5787 MiB, 29 %
2026/08/01 13:34:25.973, 5787 MiB, 28 %
2026/08/01 13:34:30.973, 5787 MiB, 29 %
2026/08/01 13:34:35.974, 5787 MiB, 29 %
2026/08/01 13:34:40.974, 5787 MiB, 29 %
2026/08/01 13:34:45.975, 5787 MiB, 29 %
2026/08/01 13:34:50.975, 5787 MiB, 29 %
2026/08/01 13:34:55.976, 5787 MiB, 28 %
2026/08/01 13:35:00.976, 5787 MiB, 29 %
2026/08/01 13:35:05.977, 5787 MiB, 29 %
2026/08/01 13:35:10.977, 5787 MiB, 29 %
2026/08/01 13:35:15.978, 5787 MiB, 29 %
2026/08/01 13:35:20.978, 5787 MiB, 28 %
2026/08/01 13:35:25.979, 5787 MiB, 29 %
2026/08/01 13:35:30.979, 5787 MiB, 27 %
2026/08/01 13:35:35.980, 5787 MiB, 29 %
2026/08/01 13:35:40.981, 5787 MiB, 30 %
2026/08/01 13:35:45.981, 5787 MiB, 29 %
2026/08/01 13:35:50.982, 5787 MiB, 28 %
2026/08/01 13:35:55.982, 5787 MiB, 26 %
2026/08/01 13:36:00.983, 5787 MiB, 28 %
2026/08/01 13:36:05.983, 5787 MiB, 25 %
2026/08/01 13:36:10.984, 5787 MiB, 29 %
2026/08/01 13:36:15.984, 5787 MiB, 27 %
2026/08/01 13:36:20.985, 5787 MiB, 28 %
2026/08/01 13:36:25.986, 5787 MiB, 28 %
2026/08/01 13:36:30.986, 5787 MiB, 26 %
2026/08/01 13:36:35.987, 5787 MiB, 29 %
2026/08/01 13:36:40.987, 5787 MiB, 29 %
2026/08/01 13:36:45.988, 5787 MiB, 29 %
2026/08/01 13:36:50.988, 5787 MiB, 29 %
2026/08/01 13:36:55.989, 5787 MiB, 26 %
2026/08/01 13:37:00.989, 5787 MiB, 29 %
2026/08/01 13:37:05.990, 5787 MiB, 28 %
2026/08/01 13:37:10.990, 5787 MiB, 29 %
2026/08/01 13:37:15.991, 5787 MiB, 27 %
2026/08/01 13:37:20.991, 5791 MiB, 28 %
2026/08/01 13:37:25.991, 5807 MiB, 26 %
2026/08/01 13:37:30.992, 5807 MiB, 28 %
2026/08/01 13:37:35.993, 5807 MiB, 27 %
2026/08/01 13:37:40.993, 5807 MiB, 25 %
2026/08/01 13:37:45.993, 5807 MiB, 28 %
2026/08/01 13:37:50.994, 5807 MiB, 5 %
2026/08/01 13:37:55.994, 5807 MiB, 28 %
2026/08/01 13:38:00.994, 5807 MiB, 28 %
2026/08/01 13:38:05.995, 5807 MiB, 26 %
2026/08/01 13:38:10.995, 5807 MiB, 29 %
2026/08/01 13:38:15.996, 5807 MiB, 28 %
2026/08/01 13:38:20.996, 5807 MiB, 26 %
2026/08/01 13:38:25.996, 5807 MiB, 26 %
2026/08/01 13:38:30.997, 5807 MiB, 29 %
2026/08/01 13:38:35.997, 5807 MiB, 29 %
2026/08/01 13:38:40.997, 5807 MiB, 29 %
2026/08/01 13:38:45.998, 5807 MiB, 26 %
2026/08/01 13:38:50.998, 5807 MiB, 25 %
2026/08/01 13:38:55.999, 5807 MiB, 27 %
2026/08/01 13:39:00.999, 5807 MiB, 29 %
2026/08/01 13:39:05.999, 5807 MiB, 29 %
2026/08/01 13:39:11.000, 5807 MiB, 27 %
2026/08/01 13:39:16.000, 5807 MiB, 28 %
2026/08/01 13:39:21.001, 5807 MiB, 28 %
2026/08/01 13:39:26.001, 5807 MiB, 29 %
2026/08/01 13:39:31.002, 5807 MiB, 28 %
2026/08/01 13:39:36.002, 5807 MiB, 28 %
2026/08/01 13:39:41.002, 5807 MiB, 28 %
2026/08/01 13:39:46.003, 5807 MiB, 28 %
2026/08/01 13:39:51.003, 5807 MiB, 25 %
2026/08/01 13:39:56.004, 5807 MiB, 29 %
2026/08/01 13:40:01.004, 5807 MiB, 28 %
2026/08/01 13:40:06.004, 5807 MiB, 29 %
2026/08/01 13:40:11.005, 5807 MiB, 28 %
2026/08/01 13:40:16.005, 5807 MiB, 24 %
