timestamp, memory.used [MiB], utilization.gpu [%]
2026/08/01 13:40:18.438, 5807 MiB, 28 %
2026/08/01 13:40:23.439, 5807 MiB, 30 %
2026/08/01 13:40:28.439, 5807 MiB, 29 %
2026/08/01 13:40:33.440, 5807 MiB, 29 %
2026/08/01 13:40:38.440, 5807 MiB, 29 %
2026/08/01 13:40:43.441, 5807 MiB, 28 %
2026/08/01 13:40:48.441, 5807 MiB, 30 %
2026/08/01 13:40:53.441, 5807 MiB, 30 %
2026/08/01 13:40:58.442, 5807 MiB, 29 %
2026/08/01 13:41:03.443, 5807 MiB, 29 %
2026/08/01 13:41:08.443, 5807 MiB, 29 %
2026/08/01 13:41:13.443, 5807 MiB, 30 %
2026/08/01 13:41:18.444, 5807 MiB, 30 %
2026/08/01 13:41:23.444, 5807 MiB, 29 %
2026/08/01 13:41:28.445, 5807 MiB, 27 %
2026/08/01 13:41:33.445, 5807 MiB, 29 %
2026/08/01 13:41:38.445, 5807 MiB, 27 %
2026/08/01 13:41:43.446, 5807 MiB, 27 %
2026/08/01 13:41:48.447, 5807 MiB, 64 %
2026/08/01 13:41:53.447, 5807 MiB, 26 %
2026/08/01 13:41:58.448, 5807 MiB, 26 %
2026/08/01 13:42:03.448, 5807 MiB, 28 %
2026/08/01 13:42:08.449, 5807 MiB, 28 %
2026/08/01 13:42:13.449, 5807 MiB, 28 %
2026/08/01 13:42:18.449, 5807 MiB, 29 %
2026/08/01 13:42:23.450, 5807 MiB, 28 %
2026/08/01 13:42:28.450, 5807 MiB, 29 %
2026/08/01 13:42:33.451, 5807 MiB, 28 %
2026/08/01 13:42:38.451, 5807 MiB, 28 %
2026/08/01 13:42:43.452, 5807 MiB, 29 %
2026/08/01 13:42:48.452, 5807 MiB, 30 %
2026/08/01 13:42:53.452, 5807 MiB, 27 %
2026/08/01 13:42:58.453, 5807 MiB, 28 %
2026/08/01 13:43:03.454, 5807 MiB, 29 %
2026/08/01 13:43:08.455, 5807 MiB, 29 %
2026/08/01 13:43:13.456, 5807 MiB, 29 %
2026/08/01 13:43:18.457, 5807 MiB, 29 %
2026/08/01 13:43:23.457, 5807 MiB, 25 %
2026/08/01 13:43:28.458, 5807 MiB, 28 %
2026/08/01 13:43:33.458, 5807 MiB, 29 %
2026/08/01 13:43:38.459, 5807 MiB, 29 %
2026/08/01 13:43:43.459, 5807 MiB, 25 %
2026/08/01 13:43:48.460, 5807 MiB, 29 %
2026/08/01 13:43:53.460, 5807 MiB, 28 %
2026/08/01 13:43:58.461, 5807 MiB, 28 %
2026/08/01 13:44:03.461, 5807 MiB, 28 %
2026/08/01 13:44:08.462, 5807 MiB, 28 %
2026/08/01 13:44:13.462, 5807 MiB, 29 %
2026/08/01 13:44:18.463, 5807 MiB, 29 %
2026/08/01 13:44:23.463, 5807 MiB, 29 %
2026/08/01 13:44:28.463, 5807 MiB, 29 %
2026/08/01 13:44:33.464, 5807 MiB, 28 %
2026/08/01 13:44:38.465, 5807 MiB, 28 %
2026/08/01 13:44:43.465, 5807 MiB, 29 %
2026/08/01 13:44:48.466, 5807 MiB, 29 %
2026/08/01 13:44:53.467, 5807 MiB, 28 %
2026/08/01 13:44:58.467, 5807 MiB, 29 %
2026/08/01 13:45:03.468, 5807 MiB, 28 %
2026/08/01 13:45:08.468, 5807 MiB, 29 %
2026/08/01 13:45:13.468, 5807 MiB, 27 %
2026/08/01 13:45:18.469, 5807 MiB, 29 %
2026/08/01 13:45:23.469, 5807 MiB, 29 %
2026/08/01 13:45:28.470, 5807 MiB, 26 %
2026/08/01 13:45:33.470, 5807 MiB, 28 %
2026/08/01 13:45:38.471, 5807 MiB, 29 %
2026/08/01 13:45:43.472, 5807 MiB, 29 %
2026/08/01 13:45:48.472, 5807 MiB, 29 %
2026/08/01 13:45:53.473, 5807 MiB, 28 %
2026/08/01 13:45:58.473, 5807 MiB, 29 %
2026/08/01 13:46:03.474, 5807 MiB, 29 %
2026/08/01 13:46:08.474, 5807 MiB, 27 %
2026/08/01 13:46:13.474, 5807 MiB, 29 %
2026/08/01 13:46:18.475, 5807 MiB, 27 %
2026/08/01 13:46:23.475, 5807 MiB, 29 %
2026/08/01 13:46:28.476, 5807 MiB, 29 %
2026/08/01 13:46:33.476, 5807 MiB, 28 %
2026/08/01 13:46:38.476, 5807 MiB, 29 %
2026/08/01 13:46:43.477, 5807 MiB, 28 %
2026/08/01 13:46:48.477, 5807 MiB, 29 %
2026/08/01 13:46:53.478, 5807 MiB, 26 %
2026/08/01 13:46:58.478, 5807 MiB, 29 %
2026/08/01 13:47:03.478, 5807 MiB, 28 %
2026/08/01 13:47:08.479, 5807 MiB, 28 %
2026/08/01 13:47:13.479, 5807 MiB, 26 %
2026/08/01 13:47:18.480, 5807 MiB, 29 %
2026/08/01 13:47:23.480, 5807 MiB, 29 %
2026/08/01 13:47:28.480, 5807 MiB, 28 %
2026/08/01 13:47:33.481, 5807 MiB, 27 %
2026/08/01 13:47:38.481, 5807 MiB, 27 %
2026/08/01 13:47:43.482, 5807 MiB, 29 %
2026/08/01 13:47:48.482, 5807 MiB, 29 %
2026/08/01 13:47:53.482, 5807 MiB, 26 %
2026/08/01 13:47:58.483, 5807 MiB, 29 %
2026/08/01 13:48:03.483, 5807 MiB, 27 %
2026/08/01 13:48:08.484, 5807 MiB, 26 %
2026/08/01 13:48:13.484, 5807 MiB, 29 %
2026/08/01 13:48:18.484, 5807 MiB, 27 %
2026/08/01 13:48:23.485, 5807 MiB, 29 %
2026/08/01 13:48:28.485, 5807 MiB, 29 %
2026/08/01 13:48:33.486, 5807 MiB, 29 %
2026/08/01 13:48:38.486, 5807 MiB, 29 %
2026/08/01 13:48:43.486, 5807 MiB, 28 %
2026/08/01 13:48:48.487, 5807 MiB, 29 %
2026/08/01 13:48:53.487, 5807 MiB, 29 %
2026/08/01 13:48:58.488, 5807 MiB, 28 %
2026/08/01 13:49:03.488, 5807 MiB, 29 %
2026/08/01 13:49:08.488, 5807 MiB, 29 %
2026/08/01 13:49:13.489, 5807 MiB, 27 %
2026/08/01 13:49:18.489, 5807 MiB, 27 %
2026/08/01 13:49:23.490, 5807 MiB, 26 %
2026/08/01 13:49:28.490, 5807 MiB, 29 %
2026/08/01 13:49:33.491, 5807 MiB, 26 %
2026/08/01 13:49:38.491, 5807 MiB, 26 %
2026/08/01 13:49:43.491, 5807 MiB, 28 %
2026/08/01 13:49:48.492, 5807 MiB, 29 %
2026/08/01 13:49:53.492, 5807 MiB, 27 %
2026/08/01 13:49:58.493, 5807 MiB, 29 %
2026/08/01 13:50:03.493, 5807 MiB, 29 %
2026/08/01 13:50:08.493, 5807 MiB, 28 %
2026/08/01 13:50:13.494, 5807 MiB, 29 %
2026/08/01 13:50:18.494, 5807 MiB, 29 %
2026/08/01 13:50:23.495, 5807 MiB, 29 %
2026/08/01 13:50:28.495, 5807 MiB, 29 %
2026/08/01 13:50:33.495, 5807 MiB, 29 %
2026/08/01 13:50:38.496, 5807 MiB, 27 %
2026/08/01 13:50:43.496, 5807 MiB, 29 %
2026/08/01 13:50:48.497, 5807 MiB, 26 %
2026/08/01 13:50:53.497, 5807 MiB, 28 %
2026/08/01 13:50:58.497, 5807 MiB, 26 %
2026/08/01 13:51:03.498, 5807 MiB, 28 %
2026/08/01 13:51:08.498, 5807 MiB, 24 %
