timestamp, memory.used [MiB], utilization.gpu [%]
2026/08/01 13:51:11.782, 5815 MiB, 29 %
2026/08/01 13:51:16.782, 5823 MiB, 35 %
2026/08/01 13:51:21.783, 5823 MiB, 38 %
2026/08/01 13:51:26.783, 5823 MiB, 30 %
2026/08/01 13:51:31.784, 5835 MiB, 30 %
2026/08/01 13:51:36.784, 5859 MiB, 37 %
2026/08/01 13:51:41.785, 5895 MiB, 34 %
2026/08/01 13:51:46.785, 5917 MiB, 34 %
2026/08/01 13:51:51.785, 5941 MiB, 32 %
2026/08/01 13:51:56.786, 5941 MiB, 37 %
2026/08/01 13:52:01.787, 5941 MiB, 35 %
2026/08/01 13:52:06.787, 5943 MiB, 34 %
2026/08/01 13:52:11.787, 5943 MiB, 29 %
2026/08/01 13:52:16.788, 5943 MiB, 29 %
2026/08/01 13:52:21.788, 5943 MiB, 28 %
2026/08/01 13:52:26.789, 5943 MiB, 28 %
2026/08/01 13:52:31.789, 5943 MiB, 29 %
2026/08/01 13:52:36.790, 5943 MiB, 28 %
2026/08/01 13:52:41.790, 5943 MiB, 29 %
2026/08/01 13:52:46.790, 5943 MiB, 29 %
2026/08/01 13:52:51.791, 5943 MiB, 30 %
2026/08/01 13:52:56.791, 5943 MiB, 29 %
2026/08/01 13:53:01.792, 5943 MiB, 28 %
2026/08/01 13:53:06.792, 5943 MiB, 29 %
2026/08/01 13:53:11.792, 5943 MiB, 29 %
