timestamp, memory.used [MiB], utilization.gpu [%]
2026/08/01 12:54:32.593, 5781 MiB, 0 %
2026/08/01 12:54:37.595, 5781 MiB, 27 %
2026/08/01 12:54:42.595, 5781 MiB, 29 %
2026/08/01 12:54:47.596, 5781 MiB, 29 %
2026/08/01 12:54:52.596, 5781 MiB, 29 %
2026/08/01 12:54:57.597, 5781 MiB, 29 %
2026/08/01 12:55:02.597, 5781 MiB, 28 %
2026/08/01 12:55:07.597, 5781 MiB, 27 %
2026/08/01 12:55:12.598, 5781 MiB, 28 %
2026/08/01 12:55:17.598, 5781 MiB, 29 %
2026/08/01 12:55:22.599, 5781 MiB, 26 %
2026/08/01 12:55:27.599, 5781 MiB, 26 %
2026/08/01 12:55:32.600, 5781 MiB, 29 %
2026/08/01 12:55:37.600, 5781 MiB, 26 %
2026/08/01 12:55:42.601, 5781 MiB, 28 %
2026/08/01 12:55:47.601, 5781 MiB, 25 %
2026/08/01 12:55:52.602, 5781 MiB, 29 %
2026/08/01 12:55:57.602, 5781 MiB, 29 %
2026/08/01 12:56:02.603, 5781 MiB, 25 %
2026/08/01 12:56:07.603, 5781 MiB, 29 %
2026/08/01 12:56:12.604, 5781 MiB, 26 %
2026/08/01 12:56:17.604, 5781 MiB, 29 %
2026/08/01 12:56:22.604, 5781 MiB, 29 %
2026/08/01 12:56:27.605, 5781 MiB, 27 %
2026/08/01 12:56:32.605, 5781 MiB, 29 %
2026/08/01 12:56:37.605, 5781 MiB, 29 %
2026/08/01 12:56:42.606, 5781 MiB, 26 %
2026/08/01 12:56:47.606, 5781 MiB, 29 %
2026/08/01 12:56:52.607, 5781 MiB, 29 %
2026/08/01 12:56:57.607, 5781 MiB, 26 %
2026/08/01 12:57:02.608, 5781 MiB, 27 %
2026/08/01 12:57:07.608, 5781 MiB, 28 %
2026/08/01 12:57:12.608, 5781 MiB, 29 %
2026/08/01 12:57:17.609, 5781 MiB, 28 %
2026/08/01 12:57:22.609, 5781 MiB, 29 %
2026/08/01 12:57:27.609, 5781 MiB, 29 %
2026/08/01 12:57:32.610, 5781 MiB, 29 %
2026/08/01 12:57:37.610, 5781 MiB, 29 %
2026/08/01 12:57:42.611, 5781 MiB, 29 %
2026/08/01 12:57:47.611, 5781 MiB, 29 %
2026/08/01 12:57:52.611, 5781 MiB, 29 %
2026/08/01 12:57:57.612, 5781 MiB, 29 %
2026/08/01 12:58:02.612, 5781 MiB, 26 %
2026/08/01 12:58:07.613, 5781 MiB, 29 %
2026/08/01 12:58:12.613, 5781 MiB, 27 %
2026/08/01 12:58:17.614, 5781 MiB, 29 %
2026/08/01 12:58:22.614, 5781 MiB, 29 %
2026/08/01 12:58:27.614, 5781 MiB, 28 %
2026/08/01 12:58:32.615, 5781 MiB, 29 %
2026/08/01 12:58:37.615, 5781 MiB, 27 %
2026/08/01 12:58:42.616, 5781 MiB, 29 %
2026/08/01 12:58:47.616, 5781 MiB, 29 %
2026/08/01 12:58:52.616, 5781 MiB, 28 %
2026/08/01 12:58:57.617, 5781 MiB, 29 %
2026/08/01 12:59:02.617, 5781 MiB, 29 %
2026/08/01 12:59:07.618, 5781 MiB, 29 %
2026/08/01 12:59:12.618, 5781 MiB, 29 %
2026/08/01 12:59:17.619, 5781 MiB, 29 %
2026/08/01 12:59:22.619, 5781 MiB, 29 %
2026/08/01 12:59:27.619, 5781 MiB, 29 %
2026/08/01 12:59:32.620, 5781 MiB, 28 %
2026/08/01 12:59:37.620, 5781 MiB, 29 %
2026/08/01 12:59:42.620, 5781 MiB, 27 %
2026/08/01 12:59:47.621, 5781 MiB, 28 %
2026/08/01 12:59:52.621, 5781 MiB, 29 %
2026/08/01 12:59:57.622, 5781 MiB, 26 %
2026/08/01 13:00:02.622, 5781 MiB, 29 %
2026/08/01 13:00:07.622, 5781 MiB, 29 %
2026/08/01 13:00:12.623, 5781 MiB, 29 %
2026/08/01 13:00:17.623, 5781 MiB, 29 %
2026/08/01 13:00:22.623, 5781 MiB, 27 %
2026/08/01 13:00:27.624, 5781 MiB, 29 %
2026/08/01 13:00:32.624, 5781 MiB, 29 %
2026/08/01 13:00:37.625, 5781 MiB, 27 %
2026/08/01 13:00:42.625, 5781 MiB, 26 %
2026/08/01 13:00:47.625, 5781 MiB, 26 %
2026/08/01 13:00:52.626, 5781 MiB, 29 %
2026/08/01 13:00:57.626, 5781 MiB, 29 %
2026/08/01 13:01:02.627, 5781 MiB, 29 %
2026/08/01 13:01:07.627, 5781 MiB, 28 %
2026/08/01 13:01:12.627, 5781 MiB, 29 %
2026/08/01 13:01:17.628, 5781 MiB, 29 %
2026/08/01 13:01:22.628, 5781 MiB, 29 %
2026/08/01 13:01:27.628, 5781 MiB, 29 %
2026/08/01 13:01:32.629, 5781 MiB, 29 %
2026/08/01 13:01:37.629, 5781 MiB, 26 %
2026/08/01 13:01:42.630, 5781 MiB, 29 %
2026/08/01 13:01:47.630, 5781 MiB, 29 %
2026/08/01 13:01:52.630, 5781 MiB, 29 %
2026/08/01 13:01:57.631, 5781 MiB, 29 %
2026/08/01 13:02:02.631, 5781 MiB, 28 %
2026/08/01 13:02:07.632, 5781 MiB, 28 %
2026/08/01 13:02:12.632, 5781 MiB, 29 %
2026/08/01 13:02:17.632, 5781 MiB, 29 %
2026/08/01 13:02:22.633, 5781 MiB, 29 %
2026/08/01 13:02:27.633, 5781 MiB, 26 %
2026/08/01 13:02:32.633, 5781 MiB, 26 %
2026/08/01 13:02:37.633, 5781 MiB, 29 %
2026/08/01 13:02:42.634, 5781 MiB, 29 %
2026/08/01 13:02:47.634, 5781 MiB, 29 %
2026/08/01 13:02:52.635, 5781 MiB, 27 %
2026/08/01 13:02:57.635, 5781 MiB, 26 %
2026/08/01 13:03:02.635, 5781 MiB, 27 %
2026/08/01 13:03:07.636, 5781 MiB, 29 %
2026/08/01 13:03:12.636, 5781 MiB, 29 %
2026/08/01 13:03:17.637, 5781 MiB, 29 %
2026/08/01 13:03:22.637, 5781 MiB, 29 %
2026/08/01 13:03:27.637, 5781 MiB, 29 %
2026/08/01 13:03:32.637, 5781 MiB, 29 %
2026/08/01 13:03:37.638, 5781 MiB, 26 %
2026/08/01 13:03:42.638, 5781 MiB, 29 %
2026/08/01 13:03:47.638, 5781 MiB, 27 %
2026/08/01 13:03:52.639, 5781 MiB, 29 %
2026/08/01 13:03:57.639, 5781 MiB, 28 %
2026/08/01 13:04:02.639, 5781 MiB, 26 %
2026/08/01 13:04:07.640, 5781 MiB, 28 %
2026/08/01 13:04:12.640, 5781 MiB, 29 %
2026/08/01 13:04:17.640, 5781 MiB, 29 %
2026/08/01 13:04:22.641, 5781 MiB, 28 %
2026/08/01 13:04:27.641, 5781 MiB, 29 %
2026/08/01 13:04:32.642, 5781 MiB, 26 %
2026/08/01 13:04:37.642, 5781 MiB, 29 %
2026/08/01 13:04:42.642, 5781 MiB, 29 %
2026/08/01 13:04:47.643, 5781 MiB, 29 %
2026/08/01 13:04:52.643, 5781 MiB, 29 %
2026/08/01 13:04:57.644, 5781 MiB, 28 %
2026/08/01 13:05:02.644, 5781 MiB, 28 %
2026/08/01 13:05:07.645, 5781 MiB, 29 %
2026/08/01 13:05:12.645, 5781 MiB, 29 %
2026/08/01 13:05:17.645, 5781 MiB, 28 %
2026/08/01 13:05:22.646, 5781 MiB, 29 %
2026/08/01 13:05:27.646, 5781 MiB, 29 %
2026/08/01 13:05:32.646, 5781 MiB, 27 %
2026/08/01 13:05:37.647, 5781 MiB, 29 %
2026/08/01 13:05:42.647, 5781 MiB, 26 %
2026/08/01 13:05:47.648, 5781 MiB, 29 %
2026/08/01 13:05:52.648, 5781 MiB, 29 %
2026/08/01 13:05:57.648, 5781 MiB, 29 %
2026/08/01 13:06:02.649, 5781 MiB, 29 %
2026/08/01 13:06:07.649, 5781 MiB, 29 %
2026/08/01 13:06:12.650, 5781 MiB, 29 %
2026/08/01 13:06:17.650, 5781 MiB, 51 %
2026/08/01 13:06:22.650, 5781 MiB, 27 %
2026/08/01 13:06:27.651, 5781 MiB, 29 %
2026/08/01 13:06:32.651, 5781 MiB, 29 %
2026/08/01 13:06:37.652, 5781 MiB, 29 %
2026/08/01 13:06:42.652, 5781 MiB, 27 %
2026/08/01 13:06:47.652, 5781 MiB, 27 %
2026/08/01 13:06:52.653, 5781 MiB, 29 %
2026/08/01 13:06:57.653, 5781 MiB, 29 %
2026/08/01 13:07:02.654, 5781 MiB, 29 %
2026/08/01 13:07:07.654, 5781 MiB, 28 %
2026/08/01 13:07:12.654, 5781 MiB, 25 %
2026/08/01 13:07:17.655, 5781 MiB, 69 %
2026/08/01 13:07:22.655, 5781 MiB, 26 %
2026/08/01 13:07:27.656, 5781 MiB, 29 %
2026/08/01 13:07:32.656, 5781 MiB, 26 %
2026/08/01 13:07:37.657, 5781 MiB, 29 %
2026/08/01 13:07:42.657, 5781 MiB, 27 %
2026/08/01 13:07:47.657, 5781 MiB, 26 %
2026/08/01 13:07:52.658, 5781 MiB, 28 %
2026/08/01 13:07:57.658, 5781 MiB, 26 %
2026/08/01 13:08:02.659, 5781 MiB, 27 %
2026/08/01 13:08:07.659, 5781 MiB, 28 %
2026/08/01 13:08:12.659, 5781 MiB, 27 %
2026/08/01 13:08:17.660, 5781 MiB, 29 %
2026/08/01 13:08:22.660, 5781 MiB, 99 %
2026/08/01 13:08:27.660, 5781 MiB, 29 %
2026/08/01 13:08:32.661, 5781 MiB, 22 %
2026/08/01 13:08:37.661, 5781 MiB, 28 %
2026/08/01 13:08:42.662, 5781 MiB, 28 %
2026/08/01 13:08:47.662, 5781 MiB, 28 %
2026/08/01 13:08:52.663, 5781 MiB, 28 %
