0, 4517
61, 4567
59, 4629
54, 4657
57, 5399
58, 5399
55, 5399
55, 5399
56, 5399
55, 5399
55, 5401
56, 5401
58, 5401
58, 5401
55, 5401
55, 5401
57, 5401
61, 5401
62, 5573
56, 5573
56, 5573
54, 5573
55, 5757
54, 5757
62, 5757
62, 5757
61, 5757
56, 5757
55, 5757
61, 5757
58, 5757
59, 5757
56, 5757
55, 5757
57, 5757
57, 5757
55, 5757
55, 5757
60, 5763
63, 5963
59, 5963
38, 5963
55, 5963
58, 5963
56, 5963
57, 5963
56, 5963
0, 0
0, 3
18, 4341
0, 4387
55, 4519
55, 4561
52, 4619
55, 4645
58, 5279
55, 5279
55, 5279
57, 5279
55, 5279
58, 5531
56, 5531
60, 5531
58, 5531
56, 5531
55, 5531
54, 5533
55, 5533
57, 5533
59, 5533
55, 5913
56, 5913
55, 5913
56, 5913
56, 5913
58, 5913
53, 5913
55, 5913
55, 5913
60, 5913
55, 5913
55, 5913
54, 5913
61, 5913
54, 5913
60, 5913
55, 5913
55, 5913
56, 5913
57, 5913
54, 5913
56, 5913
59, 5913
53, 5913
57, 5913
60, 5913
57, 5913
0, 0
0, 0
0, 3895
0, 4387
13, 4405
61, 4523
55, 4533
55, 4563
55, 5185
57, 5185
55, 5185
55, 5185
55, 5443
54, 5443
59, 5443
60, 5443
54, 5443
55, 5443
60, 5443
57, 5445
58, 5445
57, 5445
55, 5445
54, 5445
59, 5445
55, 5445
55, 5445
53, 5445
58, 5445
60, 5445
55, 5445
59, 5445
55, 5445
56, 5445
54, 5445
54, 5445
55, 5445
55, 5445
55, 5445
55, 5445
58, 5445
54, 5445
55, 5445
57, 5445
54, 5445
61, 5445
54, 5445
54, 5445
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
